State,Count
AK,19032
AL,10834
AR,17382
AZ,129299
CA,896007
CO,129392
CT,8016
DC,143202
DE,3346
FL,511530
FM,19398
GA,179402
GU,3482
HI,9501
IA,13071
ID,1861
IL,185752
IN,16073
KS,12722
KY,128738
LA,11904
MA,124611
MD,110559
ME,13645
MI,20027
MN,10322
MO,18093
MP,18327
MS,123743
MT,12187
NC,153736
ND,63450
NE,322070
NH,1410
NJ,42206
NM,76842
NV,1363
NY,280607
OH,175681
OK,260175
OR,94596
PA,21397
PR,11547
PW,33832
RI,42324
SC,72879
SD,11296
TN,116801
TX,450825
UT,12934
VA,17679
VI,98750
VT,98396
WA,24706
WI,126461
WV,87517
WY,98124
